,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Groovin' Blocks,Wii,Zoo Games,Empty Clip Studios,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,11th Aug 09,N/A
1,Marvel: Ultimate Alliance,PC,Activision,Raven Software,N/A,8.4,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,24th Oct 06,N/A
2,Tomoyo After: It's a Wonderful Life CS Edition,PS2,Prototype,Key,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,25th Jan 07,N/A
3,Flashback,PS4,Microids,Paul Cuisset,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,20th Nov 18,31st Oct 18
4,Bakumatsu Rock,PSP,Marvelous Entertainment,Unknown,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,27th Feb 14,N/A
5,Double Pack Tomb Raider: Legend / Anniversary,PSP,Eidos Interactive,Buzz Monkey / Crystal Dynamics,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,09th Apr 09,N/A
6,Far East of Eden II: Manji Maru,DS,Hudson Soft,Suzak,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,09th Mar 06,N/A
7,Spider-Man: Friend or Foe,PC,Activision,Beenox,N/A,5.6,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,02nd Oct 07,N/A
8,Family Jockey,Wii,Namco Bandai,Bandai Namco Games,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,06th Mar 08,N/A
9,Thunder Alley,GBA,XS Games,Pronto Games,N/A,N/A,N/A,N/A,0.01m,0.01m,0.00m,N/A,0.00m,13th Jun 04,N/A
10,Occultic;Nine,PSV,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,09th Nov 17,20th Sep 18
11,Resistance Dual Pack,PS3,Sony Computer Entertainment,Insomniac Games,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,05th Jul 11,N/A
12,Goat Simulator: The Bundle,XOne,Koch Media,Coffee Stain Studios,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,04th Mar 16,11th Sep 18
13,Harry Potter and the Chamber of Secrets,PC,Electronic Arts,KnowWonder,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,14th Nov 02,N/A
14,Jake Hunter Detective Story: Prism of Eyes,PS4,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,09th Aug 18,26th Aug 18
15,Nyaruko-San: Nafushigatai Game no You na Mono,PSV,5pb,Unknown,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,30th May 13,N/A
16,Sengoku Basara 2 Heroes,Wii,Capcom,Capcom,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,29th Nov 07,N/A
17,Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,PS2,Datam Polystar,Datam Polystar,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,22nd Feb 07,N/A
18,Victory Spike,PS,Imagineer,Imagineer,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,0.00m,07th Jun 96,N/A
19,Double Sequence: The Q-Virus Invasion,DS,"Destination Software, Inc",Next Wave Team,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,01st Apr 08,N/A
20,Brothers in Arms: Furious 4,X360,Ubisoft,Gearbox Software,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,N/A,30th Sep 12,05th Jul 18
21,Banjo-Kazooie,XBL,Microsoft Game Studios,4J Studios,N/A,7.0,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,03rd Dec 08,N/A
22,Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,Kadokawa Shoten,Kadokawa Shoten,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,18th Feb 10,N/A
23,Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,D3 Publisher,Sensory Sweep Studios,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,27th Jun 06,N/A
24,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,Marvelous Interactive,Marvelous Interactive,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,06th Nov 08,N/A
25,Hotel Transylvania 3: Monsters Overboard,NS,Outright Games,Torus Games,N/A,6.5,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,10th Jul 18,24th Mar 19
26,Nora to Koujo to Noraneko Heart,PSV,Harukaze,Harukaze,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,28th Sep 17,N/A
27,BlazBlue: Calamity Trigger,PC,"H2 Interactive Co., Ltd.",Arc System Works,N/A,N/A,N/A,N/A,0.01m,N/A,0.01m,N/A,0.00m,13th Feb 14,N/A
28,Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,PSP,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.01m,N/A,N/A,0.01m,N/A,30th Sep 10,N/A
29,Tempest 4000,PS4,Atari,Llamasoft,N/A,N/A,N/A,N/A,0.01m,0.01m,N/A,N/A,0.00m,27th Jul 18,09th May 18
