,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Nakamura Tooru Kanshuu: Indo Shiki Keisan Drill DS,DS,GungHo,GungHo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 08,N/A
1,Nakashima Tetsunari no Othello Seminar,XB,Success,Success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jun 02,N/A
2,Nakayoshi Cooking Series 1: Oishii Cake Okusan,GB,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 00,N/A
3,Nakayoshi Cooking Series 2: Oishii Pan Okusan,GB,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Apr 01,N/A
4,Nakayoshi Mahjong Kapurichi,GBA,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 01,N/A
5,Nakayoshi Pet Advance Series 3: Kawaii Koneko,GBA,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 02,N/A
6,Nakayoshi Pet Series 4: Kawaii Koneko,GB,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Feb 01,N/A
7,Nakayoshi Quiz no Oshigo to Theme Park,DS,Culture Brain,Culture Brain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 11,N/A
8,Nakayoshi Youchien,GBA,TDK Core,TDK Core,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 02,N/A
9,Naked Blue: Canvas Wallpaper Collection,PC,F&C,F&C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 01,N/A
10,Nakoruru: Anohito Kara no Okurimono,DC,Kool Kizz,Kool Kizz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 02,N/A
11,NAM,PC,GT Interactive,GT Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 98,N/A
12,Namco All-Stars: Pac-Man and Dig Dug,PC,Namco Networks America,Namco Networks America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 09,N/A
13,Namco Anthology 1,PS,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 98,N/A
14,Namco Anthology 2,PS,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 98,N/A
15,Namco Classic,NES,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th May 88,N/A
16,Namco Classic,GB,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Dec 91,N/A
17,Namco Classic II,NES,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Mar 92,N/A
18,Namco Gallery Vol. 1,GB,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 96,N/A
19,Namco Gallery Vol. 2,GB,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 96,N/A
20,Namco Gallery Vol. 3,GB,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 97,N/A
21,Namco Mahjong III: Mahjong Tengoku,NES,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 91,N/A
22,Namco Museum,DC,Namco,Mass Media,N/A,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 00,N/A
23,Namco Museum,PSP,Namco,Mass Media,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 05,N/A
24,Namco Museum,NS,Namco Bandai Games,Mass Media,N/A,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 17,29th Mar 19
25,Namco Museum Battle Collection,PSN,Namco Bandai,Namco Tales Studio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jan 11,N/A
26,Namco Museum Encore,PS,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 97,N/A
27,Namco Museum Essentials,PSN,Namco Bandai,Namco Bandai Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jul 09,N/A
28,Namco Museum: 50th Anniversary,PC,Namco,Digital Eclipse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 05,N/A
29,Namco Open,SNES,Namco,TOSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 93,N/A
30,Namco Super Wars,WS,Bandai,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 02,N/A
31,Namco trans/mission V1.03,PS2,Unknown,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Namco x Capcom,PS2,Namco,Monolith Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th May 05,N/A
33,namCollection,PS2,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 05,N/A
34,Name This Game,2600,US Games,US Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 84,N/A
35,Nan no Umi no Odyssey,GBA,Global A Entertainment,Global A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Oct 02,N/A
36,NANACA+CRASH,And,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th May 14,N/A
37,Nanami no Oshiete Eibunpou DS: Kisokara Manabu Step Up Gakushuu,DS,Media5,Media5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 11,N/A
38,Nanami no Oshiete English DS: Mezase TOEIC Master,DS,Media5,Media5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Mar 11,N/A
39,Nanatsu Kaze no Shima Monogatari,SAT,Enix,Enix Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Nov 97,N/A
40,Nanatsu no Hikan,SAT,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Apr 96,N/A
41,Nanatsu no Hikan,PS,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96,N/A
42,Nanatsu no Hikan: Senritsu no Bishou,DC,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 00,N/A
43,Nanatsuiro * Drops,PC,UNiSONSHIFT,UNiSONSHIFT: Blossom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Apr 06,N/A
44,Nanatsuiro * Drops: Touch de Hajimaru Hatsukoi Monogatari,DS,Media Works,UNiSONSHIFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th May 08,N/A
45,"Nancy Drew Dossier: Lights, Camera, Curses!",PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 08,N/A
46,Nancy Drew Dossier: Resorting to Danger,PC,Take-Two Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 09,N/A
47,Nancy Drew: Curse of Blackmoor Manor,PC,Atari,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Oct 04,N/A
48,Nancy Drew: Danger on Deception Island,PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 03,N/A
49,Nancy Drew: Ghost Dogs of Moon Lake,PC,DreamCatcher Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 02,N/A
50,Nancy Drew: Last Train to Blue Moon Canyon,PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Sep 05,N/A
51,Nancy Drew: Message in a Haunted Mansion,PC,DreamCatcher Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 00,N/A
52,Nancy Drew: Ransom of the Seven Ships,PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Jul 09,N/A
53,Nancy Drew: Secret of the Old Clock,PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 05,N/A
54,Nancy Drew: Secrets Can Kill,PC,DreamCatcher Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Nov 99,N/A
55,Nancy Drew: Stay Tuned for Danger,PC,Her Interactive,Her Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00,N/A
