,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Sea Battle,2600,Unknown,INTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00,N/A
1,Sea Blast,XBL,Microsoft,SeaBlast,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Dec 08,N/A
2,Sea Dragon,2600,Unknown,Adventure International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Sea Dragon,PC,Unknown,Adventure International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
4,Sea Hawk,2600,Unknown,Froggo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 82,N/A
5,Sea Hunt,2600,Unknown,Froggo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 78,N/A
6,Sea Legends: Phantasmal Light,OSX,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 12,N/A
7,Sea Life Safari,XBL,Sierra Online,Wanako Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jun 08,N/A
8,Sea Monster,2600,Bit Corporation,Bit Corp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
9,Sea Monsters: A Prehistoric Adventure,PS2,DSI Games,Atomic Planet Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 08,N/A
10,Sea of Dreamland,NES,Unknown,Mega Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92,N/A
11,Sea of Thieves,PC,Microsoft Studios,Rare Ltd.,5.0,6.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 18,01st Oct 18
12,Sea-Doo HydroCross,PS,Vatical Entertainment,Vicarious Visions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 01,N/A
13,Seal of Evil,PC,Strategy First,Object Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Apr 06,N/A
14,Seal of the Pharaoh,3DO,ASK,ASK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94,N/A
15,Seaman: Kanzenban,PS2,D3 Publisher,VIVARIUM Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 03,N/A
16,Seaman: Kindan no Pet 2001,DC,Viva Media,VIVARIUM Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 00,N/A
17,Seaquest,2600,Activision,Activision,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
18,seaQuest DSV,SNES,Malibu Games,Sculptured Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95,N/A
19,seaQuest DSV,GB,Malibu Games,Unexpected Development,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 94,N/A
20,seaQuest DSV,GEN,Black Pearl,Sculptured Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94,N/A
21,Search & Destroy,PS2,Phoenix Games,Phoenix Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 06,N/A
22,Seaside Racing,XBL,Microsoft,Gustav Olsson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 10,N/A
23,Season Match 2,And,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Oct 13,N/A
24,Season Match 2,OSX,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 11,N/A
25,Season Match 2,PC,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 11,N/A
26,Season Match 3: Curse of the Witch Crow,OSX,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 11,N/A
27,Season Match 3: Curse of the Witch Crow,PC,Big Fish Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 11,N/A
28,Season of Mystery: The Cherry Blossom Murders,PC,Square Enix,Square Enix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 09,N/A
29,Seawolves: Submarines on Hunt,PC,Evolved Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Aug 06,N/A
30,SeaWorld Adventure Park Tycoon,PC,Activision Value,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 03,N/A
31,SeaWorld Adventure Park Tycoon 2,PC,Activision Value,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 05,N/A
32,SeaWorld Adventure Parks Tycoon,PC,Activision,Activision,N/A,5.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 03,N/A
33,SeaWorld Adventure Parks Tycoon 2,PC,Activision,Activision,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 05,N/A
34,"Second Novel: Kanojo no Natsu, 15-Bun no Kioku",PSN,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jul 10,N/A
35,Second Samurai,GEN,Psygnosis,Vivid Image,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94,N/A
36,Secret Agent Barbie,PC,VU Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 02,N/A
37,Secret Agent Clank,PSN,Sony Computer Entertainment,High Impact Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 09,N/A
38,Secret Agent Files: Miami,3DS,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Nov 13,N/A
39,Secret Flirts: Make everyone fall for you!,DS,Nobilis,Smack Down Productions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 09,N/A
40,Secret of Evangelion,PS2,CyberFront,Jinx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Dec 06,N/A
41,Secret of Evangelion,PC,CyberFront,Gainax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 07,N/A
42,Secret of Evangelion Portable,PSP,CyberFront,CyberFront,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 07,N/A
43,Secret of Evermore,SNES,Square,Square USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Sep 95,N/A
44,Secret of Mana,VC,Square Enix,SquareSoft,N/A,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Oct 08,N/A
45,Secret of the Silver Blades,PC,SSI,SSI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
46,Secret of the Solstice,PC,Outspark,DnC Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Jan 08,N/A
47,Secret Ponchos,PS4,Switchblade Monkeys,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 14,N/A
48,Secret Ponchos,PC,Switchblade Monkeys,Switchblade Monkeys,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 14,21st Apr 19
