,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Danganronpa 2: Goodbye Despair,PSP,Spike,Spike Chunsoft,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.19m,N/A,26th Jul 12,11th Jan 18
1,Conan,X360,THQ,Nihilistic Software,N/A,7.1,N/A,N/A,0.19m,0.16m,0.02m,N/A,0.01m,23rd Oct 07,N/A
2,Ice Age 2: The Meltdown,GC,Vivendi Games,Eurocom Entertainment Software,N/A,7.4,N/A,N/A,0.19m,0.15m,0.04m,N/A,0.01m,14th Mar 06,N/A
3,Petz Pony: Beauty Pageant,DS,Ubisoft,HotGen Studios,N/A,N/A,N/A,N/A,0.19m,0.18m,N/A,N/A,0.01m,13th Oct 09,N/A
4,Steins;Gate,PSP,Kadokawa Shoten,Nitro+,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.19m,N/A,23rd Jun 11,04th Jul 18
5,Dinotopia: The Timestone Pirates,GBA,TDK Core,TDK Mediactive,N/A,6.1,N/A,N/A,0.19m,0.14m,0.05m,N/A,0.00m,30th Apr 02,N/A
6,Dishonored: Definitive Edition,XOne,Bethesda Softworks,Arkane Studios,N/A,N/A,N/A,N/A,0.19m,0.13m,0.05m,N/A,0.02m,25th Aug 15,04th Apr 18
7,Power Pro Kun Pocket 12,DS,Konami,PawaPuro Production,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.19m,N/A,03rd Dec 09,N/A
8,Rise of the Argonauts,PS3,Codemasters,Codemasters,N/A,5.3,N/A,N/A,0.19m,0.05m,0.12m,N/A,0.03m,16th Dec 08,N/A
9,Peter Jackson's King Kong: The Official Game of the Movie,PSP,Ubisoft,Phoenix Games Studio,N/A,6.0,N/A,N/A,0.19m,0.16m,0.01m,N/A,0.02m,20th Dec 05,N/A
10,One Piece: Burning Blood,XOne,Namco Bandai Games,Spike Chunsoft,N/A,N/A,N/A,N/A,0.19m,0.11m,0.07m,N/A,0.02m,31st May 16,23rd May 18
11,Rock Band Country Track Pack,PS3,MTV Games,Harmonix Music Systems,N/A,N/A,N/A,N/A,0.19m,0.18m,N/A,N/A,0.02m,21st Jul 09,N/A
12,New Love Plus,3DS,Konami,Konami,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.19m,N/A,24th Feb 12,N/A
13,J-League Jikkyou Winning Eleven 3,PS,Konami,Konami,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.18m,0.01m,11th Dec 97,N/A
14,Are You Smarter Than a 5th Grader? Back to School,Wii,Nintendo,ImaginEngine,N/A,N/A,N/A,N/A,0.19m,0.18m,N/A,N/A,0.02m,02nd Nov 10,N/A
15,We Wish You A Merry Christmas,Wii,Destineer,Destineer,N/A,N/A,N/A,N/A,0.19m,0.13m,0.04m,N/A,0.02m,27th Oct 09,N/A
16,Jissen Pachi-Slot Hisshouhou,SNES,Sammy Corporation,Sammy Corporation,N/A,N/A,N/A,N/A,0.19m,N/A,N/A,0.19m,N/A,26th Nov 93,N/A
