,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
234,Thunder Blade,MS,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 88,N/A
235,Thunder Brigade,PC,Interactive Magic,Bluemoon Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 98,N/A
236,Thunder Force,PC,TechnoSoft,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 84,N/A
237,Thunder Force Gold Pack 1,SAT,TechnoSoft,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 96,N/A
238,Thunder Force Gold Pack 2,SAT,TechnoSoft,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Dec 96,N/A
239,Thunder Force II,GEN,Sega,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 89,N/A
240,Thunder Force III,GEN,Hot-B,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
241,Thunder Force V,SAT,TechnoSoft,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 97,N/A
242,Thunder Force V: Perfect System,PSN,Sony Computer Entertainment,"TechnoSoft Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 10,N/A
243,Thunder Spirits,SNES,Seika,Toshiba EMI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 92,N/A
244,Thunder Truck Rally,PC,Psygnosis,Reflections Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97,N/A
245,Thunder Wolves,PC,bitComposer Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th May 13,N/A
246,Thunder Wolves,PS3,bitComposer Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 13,N/A
247,Thunder Wolves,X360,bitComposer Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 13,N/A
248,Thunderbirds,GB,SCi,Pukka Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 00,N/A
249,Thunderbirds,NES,Activision,Pack-In-Video,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 90,N/A
250,Thunderbirds,PS2,Blast! Entertainment Ltd,Pukka Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jul 07,N/A
251,Thunderbirds: International Rescue,GBA,SCi,Pukka Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 01,N/A
252,Thunderbirds: Vault of Doom,PC,Europress,Europress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Mar 02,N/A
253,Thundercade,NES,Sammy Corporation,Micronics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 89,N/A
254,THUNDERCATS,DS,Namco Bandai Games,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 12,N/A
255,Thunderground,2600,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
256,ThunderStrike 2,SAT,Core Design Ltd.,Core Design Ltd.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96,N/A
257,Tiara,PC,Symphony,Symphony,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 09,N/A
258,Tibor: Tale of a Kind Vampire,PC,Unknown,Cateia Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
259,TIC: Part 1,XBL,Microsoft,RedCandy Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jun 11,N/A
260,Ticket to Ride,XBL,Playful Entertainment,"Next Level Games, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 08,N/A
261,TicTacToe,XBL,Microsoft,Aztec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 09,N/A
262,Tidalis,PC,"Arcen Games, LLC","Arcen Games, LLC",N/A,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jul 10,N/A
263,Tides of War,PC,GT Interactive,Devil's Thumb Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 99,N/A
264,Tiestru,PC,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Aug 14,N/A
265,Tiger Road,PCE,NEC,Victor Interactive Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
266,Tiger Storm,XBL,Unknown,Omer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
267,Tiger Trouble,PSN,Gameshastra,GameShastra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 09,N/A
268,Tiger Woods PGA Tour 08,PC,Unknown,EA Salt Lake,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
269,Tiger Woods PGA Tour 10,PSN,Electronic Arts,EA Tiburon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 09,N/A
270,Tiger Woods PGA Tour 12: The Masters,PC,EA Sports,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Sep 11,N/A
271,Tiger Woods PGA Tour 2000,PC,EA Sports,Rainbow Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Feb 00,N/A
272,Tiger Woods PGA Tour 2000,GB,THQ,Xantera,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00,N/A
273,Tiger Woods PGA Tour 2001,PC,EA Sports,Headgate Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Nov 00,N/A
274,Tiger Woods PGA Tour 2002,PC,EA Sports,Headgate Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 02,N/A
275,Tiger Woods PGA Tour 2003,PC,EA Sports,Headgate Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 02,N/A
276,Tiger Woods PGA Tour 2004,NGage,EA Sports,Backbone Emeryville,N/A,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 04,N/A
277,Tiger Woods PGA Tour Golf,PS,EA Sports,EA Sports,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 00,N/A
278,Tiger-Heli,NES,Acclaim Entertainment,Micronics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 87,N/A
