,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Donkey Xote,PSN,Virgin Play,Virgin Play,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jul 09,N/A
1,Donkey Xote,PSP,Virgin Play,Virgin Play,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jul 09,N/A
2,DonPachi,SAT,Atlus,Nihon Falcom Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 96,N/A
3,DonPachi,PS,SPS,Cave,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Oct 96,N/A
4,DonPachi,PSN,Hamster Corporation,Cave,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 10,N/A
5,Donut County,And,Annapurna Interactive,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 18,N/A
6,Donut County,OSX,Annapurna Interactive,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 18,N/A
7,Donut County,PC,Annapurna Interactive,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 18,N/A
8,Donut Dash!,And,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 14,N/A
9,Donut Yum!,PSV,Syntetic Dreams,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Mar 14,N/A
10,Doodle Attack,OSX,Double Fine Productions,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15,N/A
11,Doodle Attack,Linux,Double Fine Productions,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15,N/A
