,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
13,Jewel Time Deluxe,DS,O-Games,O-Games,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.01m,18th Oct 11,N/A
14,Disney's Donald Duck Advance,GBA,Ubisoft,Ubisoft,N/A,6.5,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,15th Nov 01,N/A
15,Hakuouki: Yuugi Roku,PSP,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,13th May 10,N/A
16,Stacked with Daniel Negreanu,PS2,Myelin Media,5000ft,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.01m,31st May 06,N/A
17,Circus Maximus: Chariot Wars,XB,Encore,Kodiak Interactive,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,24th Feb 02,N/A
18,Need for Speed Underground 2,PC,Electronic Arts,EA Black Box,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,09th Nov 04,N/A
19,Kenyuu Densetsu Yaiba,SNES,Banpresto,Atelier Double,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,0.00m,25th Mar 94,N/A
20,Elements of Destruction,DS,THQ,Black Lantern Studios,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,17th Dec 07,N/A
21,SpongeBob's Truth or Square,PSP,THQ,Heavy Iron Studios,N/A,N/A,N/A,N/A,0.07m,0.02m,0.04m,N/A,0.01m,26th Oct 09,N/A
22,Harvest Moon: Light of Hope,PS4,Natsume,Natsume,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,29th May 18,27th Feb 18
23,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,Namco Bandai,Bec,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,12th Feb 09,N/A
24,Just Dance: Disney Party 2,X360,Ubisoft,Ubisoft San Francisco,N/A,N/A,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.01m,20th Oct 15,07th Apr 18
25,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,Namco Bandai,Bec,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,12th Feb 09,N/A
26,Operation Darkness,X360,Atlus,Success,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,24th Jun 08,N/A
27,Serious Sam: Next Encounter,PS2,Global Star Software,Climax Group,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.01m,22nd Apr 04,N/A
28,Eiken DS,DS,Rocket Company,Imagineer,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,27th Sep 07,N/A
29,The Book of Unwritten Tales 2,PS4,Nordic Games,KING Art Games,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,18th Sep 15,17th Dec 18
30,Game Center CX: Arino no Chousenjou 2,DS,Namco Bandai,Bandai Namco Games,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,26th Feb 09,N/A
31,E.X. Troopers,3DS,Capcom,Capcom,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,22nd Nov 12,23rd Dec 18
32,Tom Clancy's Ghost Recon 2,GC,Ubisoft,Red Storm Entertainment,N/A,5.7,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,15th Mar 05,N/A
33,Bass Pro Shops: The Strike - Championship Edition,NS,Planet Entertainment,XS Games,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,09th Nov 18,11th Sep 18
34,WRC 2: FIA World Rally Championship,X360,Ubisoft,Milestone S.r.l,N/A,5.8,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,14th Oct 11,N/A
35,Touhou Genso Rondo: Bullet Ballet,PS4,NIS America,CUBETYPE,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,06th Sep 16,17th Sep 18
36,The Walking Dead: A Telltale Series Collection,PS4,Warner Bros. Interactive Entertainment,Telltale Games,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,05th Dec 17,N/A
37,Jewel Link Chronicles: Legend of Athena,DS,GSP,Avanquest Software,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,25th Feb 11,N/A
38,Monster Racers,DS,KOEI,Koei,N/A,N/A,N/A,N/A,0.07m,0.05m,N/A,0.02m,0.00m,04th May 10,N/A
39,The King of Fighters: Evolution,DC,Agetec,SNK Corporation,N/A,7.6,N/A,N/A,0.07m,N/A,N/A,0.07m,0.00m,10th May 01,N/A
40,DS Uranai Seikatsu,DS,Nintendo,Nintendo,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,15th Jan 09,N/A
41,Disaster: Day of Crisis,Wii,Nintendo,Monolith Soft,N/A,6.4,8.0,N/A,0.07m,N/A,0.03m,0.04m,0.00m,24th Oct 08,N/A
42,Pitfall: The Lost Expedition,GBA,Activision,Torus Games,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,18th Feb 04,N/A
43,All-Star Baseball 2004,GBA,Acclaim Entertainment,Acclaim Entertainment,N/A,7.4,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,23rd Feb 03,N/A
44,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,Namco Bandai Games,Bandai Namco Games,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,19th Apr 12,23rd Dec 18
45,James Cameron's Dark Angel,XB,Sierra Entertainment,Sierra Entertainment,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,20th Nov 02,N/A
46,The Silver Case,PS4,NIS America,Grasshopper Manufacture,N/A,N/A,N/A,N/A,0.07m,0.05m,N/A,0.01m,0.01m,18th Apr 17,11th Sep 18
47,The Legend of Heroes: Trails in the Sky the 3rd,PSP,Falcom Corporation,Nihon Falcom Corporation,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,24th Jul 08,25th Dec 18
48,The Legend of Heroes: Trails in the Sky Third Chapter,PSP,Falcom Corporation,Nihon Falcom Corporation,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,24th Jul 08,N/A
49,Burnout Paradise: The Ultimate Box,PS3,Electronic Arts,Criterion Games,8.6,9.0,N/A,N/A,0.07m,N/A,0.05m,0.01m,0.01m,06th Feb 09,N/A
50,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,Midway Games,Creat Studios,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,05th Nov 07,N/A
51,Crayola: Colorful Journey,Wii,Crave Entertainment,Crave Entertainment,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.00m,17th Mar 09,N/A
52,Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,Valcon Games,Milestone S.r.l,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,29th Oct 07,N/A
53,Saint Seiya: Brave Soldiers,PS3,Namco Bandai Games,Dimps Corporation,N/A,N/A,N/A,N/A,0.07m,N/A,0.01m,0.06m,0.00m,26th Nov 13,27th Dec 18
54,Ragnarok: Hikari to Yami no Koujo,PSP,GungHo,GungHo,N/A,N/A,N/A,N/A,0.07m,0.02m,N/A,0.05m,0.01m,06th Nov 12,N/A
55,Alexi Lalas International Soccer,PS,Take-Two Interactive,Z-Axis,N/A,4.4,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,30th Apr 99,N/A
56,Karaoke Revolution Party,GC,Konami,Harmonix Music Systems,N/A,N/A,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.00m,08th Nov 05,N/A
57,Monster Rancher Battle Card: Episode II,PS,Tecmo,Tecmo,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,31st Jul 00,N/A
58,NCAA College Football 2K3,GC,Sega,Visual Concepts,N/A,N/A,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.00m,09th Sep 02,N/A
59,Rec Room Games,DS,Destineer,Destineer,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,11th Feb 11,N/A
60,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,31st Mar 00,30th Aug 18
61,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,31st Mar 00,30th Aug 18
62,Jumper: Griffin's Story,PS2,Brash Entertainment,Collision Studios,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,12th Feb 08,N/A
63,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,Natsume,AlphaDream Corporation,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,26th Sep 08,N/A
64,Famicom Mini: Nazo no Murasame-Jou,GBA,Nintendo,Nintendo,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,0.00m,10th Aug 04,N/A
65,Rugby League 3,Wii,Alternative Software,Sidhe Interactive,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,09th Apr 10,N/A
66,Let's Paint,Wii,Zoo Games,Zoo Games,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.00m,25th May 10,N/A
67,Galerians: Ash,PS2,Sammy Corporation,Polygon Magic,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,03rd Feb 03,N/A
68,Robocalypse,DS,Tecmo,Vogster Entertainment,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,17th Nov 08,N/A
69,Poi,NS,Polykid,Polykid,N/A,5.0,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.01m,01st Feb 17,15th Feb 19
70,Escape Dead Island,X360,Deep Silver,Fatshark,N/A,N/A,N/A,N/A,0.07m,0.03m,0.04m,N/A,0.01m,18th Nov 14,16th Apr 18
71,Valentino Rossi: The Game,XOne,Namco Bandai Games,Milestone S.r.l.,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.01m,26th Jul 16,25th Jun 18
72,12-Sai. Honto no Kimochi,3DS,Happinet,Happinet,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,18th Dec 14,28th Jul 18
73,Haunting Ground,PS2,Capcom,Capcom Production Studio 1,N/A,6.6,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,10th May 05,N/A
74,Mahjong Fight Club DS: Wi-Fi Taiou,DS,Konami,Konami,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,07th Dec 06,N/A
75,Moxie Girlz,DS,GameMill,1st Playable,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,11th Oct 11,N/A
76,The Caligula Effect,PSV,Atlus,FuRyu,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,02nd May 17,15th Jan 18
77,Homie Rollerz,DS,Destineer,Webfoot Technologies,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,05th Mar 08,N/A
78,Vampire Knight DS,DS,D3 Publisher,D3 Publisher,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,29th Jan 09,N/A
79,Disney Sports Skateboarding,GBA,Konami,Konami,N/A,3.6,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,15th Nov 02,N/A
80,Magi: The Labyrinth of Beginning,3DS,Namco Bandai Games,Bandai Namco Games,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,21st Feb 13,27th Dec 18
81,Tom Clancy's Splinter Cell: Chaos Theory,DS,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,0.07m,0.06m,0.00m,N/A,0.01m,28th Jun 05,N/A
82,Doraemon: Nobita no Uchuu Eiyuuki,3DS,FuRyu Corporation,FuRyu,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,05th Mar 15,N/A
83,Inversion,PS3,Namco Bandai Games,Saber Interactive,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,05th Jun 12,N/A
84,Vampire Legends: Power of Three,DS,THQ,Smack Down Productions SARL,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,29th Jun 10,N/A
85,Yamaha Supercross,Wii,DSI Games,Coyote Console,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.01m,24th Feb 09,N/A
86,Attack on Titan 2: Future Coordinates,3DS,Spike Chunsoft,Spike Chunsoft,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,30th Nov 17,29th Jan 19
87,I Don't Have Many Friends Portable,PSP,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,23rd Feb 12,27th Dec 18
88,Loons: The Fight For Fame,XB,Atari,Warthog,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,15th Sep 02,N/A
89,Romance of the Three Kingdoms IX,PS2,KOEI,Koei,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,24th Feb 04,N/A
90,Make 10: A Journey of Numbers,DS,Nintendo,MuuMuu,N/A,N/A,N/A,N/A,0.07m,N/A,0.00m,0.07m,0.00m,26th Sep 08,N/A
91,Record of Agarest War,PS3,Ghostlight,Compile Heart,N/A,N/A,N/A,N/A,0.07m,N/A,0.03m,0.03m,0.01m,30th Oct 09,N/A
92,One Piece: Unlimited World Red Deluxe Edition,NS,Namco Bandai Games,Ganbarion,N/A,N/A,N/A,N/A,0.07m,N/A,0.04m,0.03m,0.00m,29th Sep 17,08th Jan 18
93,Second Sight,XB,Codemasters,Free Radical Design,N/A,7.8,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,21st Sep 04,N/A
94,Fantasy Aquarium by DS,DS,Destineer,Destineer,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,17th Mar 08,N/A
95,Metal Gear Solid,GB,Konami,TOSE Software,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,24th Apr 00,N/A
96,Totaled!,XB,Majesco,Rage Software,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,29th Jul 02,N/A
97,Bleach: Heat the Soul 3,PSP,Sony Computer Entertainment,Eighting,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,20th Jul 06,N/A
98,Ecco: The Tides of Time,GEN,Sega,Novotrade International,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,25th Aug 94,N/A
99,Operation Flashpoint: Dragon Rising,PC,Codemasters,Codemasters,N/A,7.6,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,06th Oct 09,N/A
100,Tornado,DS,Ignition Entertainment,SKONEC Entertainment,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,27th Oct 08,N/A
101,Rock Band Track Pack: Classic Rock,X360,MTV Games,Harmonix Music Systems,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,19th May 09,N/A
102,MLB Front Office Manager,X360,2K Sports,Blue Castle Games,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,26th Jan 09,N/A
103,Petz: Hamsterz Bunch,PSP,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,0.07m,0.06m,0.00m,N/A,0.01m,27th Oct 09,N/A
104,Transformer: Rise of the Dark Spark,3DS,Activision,Way Forward Technologies,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.01m,24th Jun 14,27th Dec 18
105,Pro Farm 1,PC,Excalibur Publishing Limited,Excalibur Publishing Limited,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,19th Aug 11,N/A
106,Machine Head,PS,Eidos Interactive,Core Design Ltd.,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,30th Nov 96,N/A
107,Vanguard Bandits,PS,Working Designs,S-Neo,N/A,6.4,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,29th Apr 00,N/A
108,Mugen Souls Z,PS3,NIS America,Compile Heart,N/A,N/A,N/A,N/A,0.07m,0.02m,0.01m,0.04m,0.01m,20th May 14,27th Dec 18
109,Samurai Warriors Chronicles 3,PSV,Tecmo Koei,Omega Force,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,30th Jun 15,04th Aug 18
110,Damnation,X360,Codemasters,Blue Omega Entertainment,N/A,3.1,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.01m,26th May 09,N/A
111,Classic NES Series: Metroid,GBA,Nintendo,Nintendo R&D1,N/A,5.2,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,25th Oct 04,N/A
112,Disneyland Adventures,XOne,Microsoft Studios,Asobo Studio,N/A,N/A,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.01m,31st Oct 17,25th Sep 18
113,Lost Heroes,PSP,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,06th Sep 12,01st Dec 18
114,Eiyuu Densetsu: Zero no Kiseki: Evolution,PSV,Falcom Corporation,Nihon Falcom Corporation,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,18th Oct 12,28th Dec 18
115,Wild Guns Reloaded,NS,Natsume,Natsume Atari,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,17th Apr 18,16th Feb 19
116,Hunting Simulator,PS4,Bigben Interactive,Maximum Games,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,11th Jul 17,28th Jun 18
117,Cabela's The Hunt: Championship Edition Bundle,NS,Planet Entertainment,Planet Entertainment,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,09th Nov 18,11th Sep 18
118,Shin Chan Contra ¡Los Plastas!,DS,505 Games,Inti Creates,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,03rd Dec 09,N/A
119,Silent Hill: Origins,PS2,Konami,Climax Group,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,04th Mar 08,N/A
120,Blast Radius,PS,Psygnosis,Pitbull Syndicate,N/A,6.6,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,24th Feb 99,N/A
121,ESPN National Hockey Night,PS2,Konami,Kush Games,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,25th Mar 01,N/A
122,Cut the Rope: Triple Treat,3DS,Activision,ZeptoLab,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,25th Mar 14,28th Dec 18
123,Pro Yakyuu Spirits 2011,3DS,Konami,PawaPuro Production,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,14th Apr 11,N/A
124,DuckTales: Remastered,WiiU,Capcom,WayForward,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,12th Nov 13,17th Feb 19
125,Taz Wanted,XB,Atari,Blitz Games,N/A,5.8,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,18th Sep 02,N/A
126,Harry Potter and the Sorcerer's Stone,XB,Electronic Arts,Warthog,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,09th Dec 03,N/A
127,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,Konami,PawaPuro Production,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,26th Feb 09,N/A
128,McFarlane's Evil Prophecy,PS2,Konami,Konami,N/A,N/A,N/A,N/A,0.07m,0.03m,0.03m,N/A,0.01m,15th Jun 04,N/A
129,Just Dance 2019,X360,Ubisoft,Ubisoft Paris,N/A,N/A,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.01m,23rd Oct 18,28th Sep 18
130,Wallace & Gromit in Project Zoo,GC,BAM! Entertainment,Frontier Developments,N/A,6.6,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.00m,14th Oct 03,N/A
131,Aero Gauge,N64,ASCII Entertainment,Locomotive Games,N/A,4.5,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,21st May 98,N/A
132,Battlezone: Rise of the Black Dogs,N64,Crave Entertainment,Climax Group,N/A,7.3,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,30th Mar 00,N/A
133,Bionic Commando Rearmed,XBL,Capcom,GRIN,N/A,8.7,9.5,0.07m,N/A,N/A,N/A,N/A,N/A,13th Aug 08,N/A
134,Caesars Palace Advance: Millennium Gold Edition,GBA,Majesco,Majesco Games,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,19th Sep 01,N/A
135,Dawn of Mana,PS2,Square Enix,Square Enix,N/A,6.3,N/A,0.07m,N/A,N/A,N/A,N/A,N/A,24th May 07,N/A
136,Half-Minute Hero,PSP,Xseed Games,Opus Studio,8.5,8.5,N/A,0.07m,N/A,N/A,N/A,N/A,N/A,13th Oct 09,N/A
137,John Madden Football,SNES,Electronic Arts,Park Place Productions,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,0.00m,01st Nov 91,N/A
138,Mia Hamm Soccer 64,N64,SouthPeak Interactive,Silicon Dreams,N/A,N/A,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,09th Nov 00,N/A
139,Shadowgate 64: Trials of the Four Towers,N64,Kemco,Infinite Ventures,N/A,5.4,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,31st May 99,N/A
140,Sigma Harmonics,DS,Square Enix,Square Enix,N/A,N/A,N/A,0.07m,N/A,N/A,N/A,N/A,N/A,21st Aug 08,N/A
141,Super Robot Spirits,N64,Banpresto,Vertex,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.04m,0.03m,17th Jul 98,N/A
142,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,Konami,Konami,N/A,N/A,N/A,N/A,0.07m,0.04m,0.01m,0.02m,N/A,01st Feb 94,N/A
143,SNK Arcade Classics Vol. 1,Wii,SNK Playmore,Terminal Reality,N/A,N/A,N/A,N/A,0.07m,0.06m,0.00m,N/A,0.01m,22nd Jul 08,N/A
144,WRC 7,PS4,Bigben Interactive,Kylotonn Entertainment,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,03rd Oct 17,06th Jan 18
145,Samurai Warriors,XB,KOEI,Omega Force,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,13th Jul 04,N/A
146,GunParade Orchestra: Shiro no Shou,PS2,Sony Computer Entertainment,Alfa System,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,12th Jan 06,N/A
147,Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,Irem Software Engineering,Irem Software Engineering,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,23rd Apr 09,N/A
148,Operation Flashpoint: Red River,PC,Codemasters,Codemasters,N/A,7.0,N/A,N/A,0.07m,0.01m,0.04m,N/A,0.01m,07th Jun 11,N/A
149,Winter Sports 2011,Wii,DTP Entertainment,49Games,N/A,N/A,N/A,N/A,0.07m,N/A,0.06m,N/A,0.01m,25th Feb 11,N/A
150,Tank! Tank! Tank!,WiiU,Namco Bandai Games,Namco Bandai Games,N/A,4.7,N/A,N/A,0.07m,0.02m,0.01m,0.05m,0.00m,18th Nov 12,18th Jan 18
151,FIFA Soccer 2004,GC,EA Sports,EA Canada,N/A,8.2,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.00m,04th Nov 03,N/A
152,Dave Mirra BMX Challenge,PSP,Crave Entertainment,Left Field Productions,N/A,3.5,N/A,N/A,0.07m,0.06m,0.00m,N/A,0.01m,02nd Nov 06,N/A
153,Just Dance 2018,PS3,Ubisoft,Ubisoft Paris,N/A,N/A,N/A,N/A,0.07m,0.02m,0.03m,N/A,0.01m,24th Oct 17,06th Apr 18
154,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,Namco Bandai Games,Banpresto,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,22nd Aug 13,28th Dec 18
155,MotorStorm RC,PSV,Sony Computer Entertainment,Evolution Studios,8.2,N/A,N/A,N/A,0.07m,N/A,0.05m,N/A,0.01m,06th Mar 12,17th Jul 19
156,Rayman 3: Hoodlum Havoc,GC,Ubisoft,Ubisoft,N/A,7.4,N/A,N/A,0.07m,0.05m,0.01m,N/A,0.00m,02nd Mar 03,N/A
157,Paw Patrol on a Roll,PS4,Outright Games,Outright Games,N/A,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.01m,23rd Oct 18,07th Aug 18
