,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Tak: The Great Juju Challenge,XB,THQ,Avalanche Software,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,19th Sep 05,N/A
1,TMNT: Mutant Melee,GC,Konami,Konami Computer Entertainment Hawaii,N/A,4.2,N/A,N/A,0.07m,0.06m,0.01m,N/A,0.00m,16th Mar 05,N/A
2,Combat: Task Force 121,XB,Groove Games,Direct Action Games,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,27th Mar 05,N/A
3,Enchanter,PC,Infocom,"Infocom, Inc.",N/A,N/A,N/A,0.07m,N/A,N/A,N/A,N/A,N/A,01st Jan 83,N/A
4,Speed Zone,Wii,Detn8 Games,Awesome Play Ltd.,N/A,N/A,N/A,N/A,0.07m,0.01m,0.05m,N/A,0.01m,18th Aug 09,N/A
5,Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,Konami,Konami,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,20th May 10,N/A
6,The Rub Rabbits!,DS,Sega,Sonic Team,N/A,7.3,N/A,N/A,0.07m,0.03m,0.00m,0.04m,0.00m,13th Feb 06,N/A
7,Goosebumps HorrorLand,PS2,Scholastic Inc.,Gusto Games,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.01m,28th Oct 08,N/A
8,Exhibition Volume 4,XB,Microsoft,Various,N/A,N/A,N/A,N/A,0.07m,0.05m,0.02m,N/A,0.00m,26th Nov 03,25th Sep 18
9,Dead Rising 2,PS4,Capcom,Capcom,N/A,N/A,N/A,N/A,0.07m,0.04m,N/A,0.02m,0.01m,27th Sep 16,N/A
10,Let's Ride! Friends Forever,DS,THQ,THQ,N/A,N/A,N/A,N/A,0.07m,0.07m,N/A,N/A,0.01m,03rd Mar 08,N/A
11,Viewpoint,PS,Electronic Arts,Visual Concepts,N/A,N/A,N/A,N/A,0.07m,0.04m,0.03m,N/A,0.00m,28th Nov 95,N/A
12,Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,Namco Bandai,Bandai Namco Games,N/A,N/A,N/A,N/A,0.07m,N/A,N/A,0.07m,N/A,27th Mar 08,N/A
