,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Deathtrap Dungeon,PC,Unknown,Asylum Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 18
1,Decay of Logos,XOne,Rising Star Games,Amplify Creations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 19,10th Aug 19
2,Decay of Logos,PS4,Rising Star Games,Amplify Creations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 19,10th Aug 19
3,Decay of Logos,PC,Rising Star Games,Amplify Creations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 19,10th Aug 19
4,Decay of Logos,NS,Rising Star Games,Amplify Creations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Aug 19,10th Aug 19
5,Deception IV: Blood Ties,PS3,Tecmo Koei,Tecmo Koei Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 14,01st Aug 18
6,Deception IV: Blood Ties,PSV,Tecmo Koei,Tecmo Koei Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 14,01st Aug 18
7,Deep Ones,NS,Flyhigh Works,Sometimes You,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 17,11th Mar 18
8,Deep Rock Galactic,XOne,Coffee Stain Studios,Ghost Ship Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20,01st May 20
9,Deep Rock Galactic,PC,Coffee Stain Studios,Ghost Ship Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th May 20,01st May 20
10,Defender,Int,Atarisoft,Atari,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83,13th Jan 18
11,Defoliation,NS,Cosen,Cosen,N/A,N/A,5.0,N/A,N/A,N/A,N/A,N/A,N/A,31st May 18,21st Jun 18
12,Degrees of Separation,NS,Unknown,Moondrop,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 19
13,Degrees of Separation,PC,Unknown,Moondrop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 19
14,Degrees of Separation,PS4,Unknown,Moondrop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 19
15,Degrees of Separation,XOne,Unknown,Moondrop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 19
16,Deiland,PS4,Unknown,Chibig,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jan 19
17,Deliver Us The Moon,XOne,Unknown,KeokeN Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 19
18,Deliver Us The Moon,PS4,Unknown,KeokeN Interactive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 19
19,Deliver Us The Moon,PC,Unknown,KeokeN Interactive,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 19
20,DELTARUNE,NS,8-4,Toby Fox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 19,13th Feb 19
21,DELTARUNE,PS4,8-4,Toby Fox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 19,13th Feb 19
22,DELTARUNE,PC,Toby Fox,Toby Fox,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 18,13th Feb 19
23,Demon Attack,Int,Imagic,Imagic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 82,13th Jan 18
24,Demon Turf,XS,Fabraz,Fabraz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,18th Jun 20
25,Demon Turf,XOne,Fabraz,Fabraz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,18th Jun 20
26,Demon Turf,PC,Fabraz,Fabraz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,18th Jun 20
27,Demon Turf,NS,Fabraz,Fabraz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,18th Jun 20
28,Demon's Tier+,PS4,EastAsiaSoft,Diabolical Mind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 20,17th Jun 20
29,Demon's Tier+,PSV,EastAsiaSoft,Diabolical Mind,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jun 20,17th Jun 20
30,Demon’s Souls,PS5,Sony Interactive Entertainment,Bluepoint Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20,18th Sep 20
31,Deponia,PS4,Daedalic Entertainment,Daedalic Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 16,27th Apr 19
32,Deponia Doomsday,PS4,Daedalic Entertainment,Daedalic Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 19,27th Apr 19
33,Descent (2019),NS,Unknown,Descendent Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 18
34,Descent (2019),XOne,Unknown,Descendent Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 18
35,Descent (2019),PS4,Unknown,Descendent Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 18
36,Descent (2019),PC,Unknown,Descendent Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 18
37,Desert Child,NS,Akupara Games,Oscar Brittain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 18,12th Nov 18
38,Desolate,PC,HypeTrain Digital,HypeTrain Digital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Jan 19,16th Dec 20
39,Desperados III,XOne,THQ Nordic,Mimimi Productions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 20,09th Apr 19
40,Desperados III,PS4,THQ Nordic,Mimimi Productions,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 20,09th Apr 19
41,Desperados III,PC,THQ Nordic,Mimimi Productions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 20,09th Apr 19
42,Destiny 2,XS,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,13th Jun 20
43,Destiny 2,PS5,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,13th Jun 20
44,Destiny 2: Beyond Light,XS,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,08th Sep 20
45,Destiny 2: Beyond Light,XOne,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20,08th Sep 20
46,Destiny 2: Beyond Light,PS5,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,08th Sep 20
47,Destiny 2: Beyond Light,PS4,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20,08th Sep 20
48,Destiny 2: Beyond Light,PC,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20,08th Sep 20
49,Destiny 2: Shadowkeep,XOne,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 19,21st Jul 19
50,Destiny 2: Shadowkeep,PS4,Bungie Software,Bungie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Sep 19,21st Jul 19
