,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Bakuretsu Hunter R,SAT,King Records,King Records,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Aug 97,N/A
1,Bakuretsu Hunter: Mahjong Special,PS,Banpresto,Banpresto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 96,N/A
2,Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte,PS,Banpresto,Banpresto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Apr 97,N/A
3,Bakuretsu Muteki Bangai-O,N64,ESP,"Treasure Co., Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Sep 99,N/A
4,Bakuretsu Soccer,PS,Tecmo,Tecmo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 02,N/A
5,Bakuryuu,PS,Fuji,Fujimic Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Sep 00,N/A
6,Bakushou Jinsei 64: Mezase! Resort Ou,N64,Taito,Taito Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Dec 98,N/A
7,Bakushou!! All Yoshimoto Quiz Ou Kettaisen,3DO,Yoshimoto Kogyo,Yoshimoto Kogyo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 95,N/A
8,Bakushou!! All Yoshimoto Quiz Ou Ketteisen,PS,Yoshimoto Kogyo,Yoshimoto Kogyo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 95,N/A
9,Bakushou!! All Yoshimoto Quiz-Ou Ketteisen DX,SAT,Yoshimoto Kogyo,Open Sesame,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 95,N/A
10,Bakusou Dekotora Densetsu 2,PS,Spike,Spike,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Dec 99,N/A
11,Bakusou Dekotora Densetsu Black,DS,Spike,Spike,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 08,N/A
12,Bakusou Dekotora Densetsu for WonderSwan,WS,Naxat Soft,Human Club,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Dec 99,N/A
13,Bakusou Dekotora Densetsu GB Special: Otoko Dokyou no Tenka Touitsu,GB,KID,KID Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 00,N/A
14,Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman,PS2,Spike,Spike,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jan 03,N/A
15,Bakutan,WW,Alpha Unit,Alpha Unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Nov 08,N/A
16,Bakuten Shoot Beyblade,GB,Broccoli,Rokumendo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 01,N/A
17,Bakuten Shoot Beyblade 2002 : Daichi Version / Takao Version,GBA,Broccoli,Al,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Dec 02,N/A
18,Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,PS,Takara,Takara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 02,N/A
19,Bakuten Shoot Beyblade: Gekitou! Saikyou Blade,GBA,Broccoli,Al,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Dec 01,N/A
20,Bakuto Dochers,SNES,Bullet Proof Software,Bullet Proof Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 94,N/A
21,Bakutotsu Kijuutei: Baraduke II (Arcade),VC,Namco Bandai,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Oct 09,N/A
22,Bakutsu Retsuden Shou: Happy Fishing,GB,Starfish,Starfish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Jul 98,N/A
23,Baldies,PS,Bethesda Softworks,Creative Edge Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 03,N/A
24,Baldies,AJ,Atari,Creative Edge Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 95,N/A
25,Baldies,PC,Panasonic Interactive Media,Creative Edge Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 96,N/A
26,Baldr Force EXE,DC,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 04,N/A
27,Baldur's Gate II: The Collection,PC,Interplay,Interplay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 03,N/A
28,Baldur's Gate: 4 in 1 Boxset,PC,Atari,BioWare Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Jun 06,N/A
29,Baldy Land,PS,Banpresto,Creative Edge Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 98,N/A
30,Baldy Land,SAT,Banpresto,Creative Edge Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98,N/A
31,Ball Bullet Gun: Survival Game Simulation,SNES,I'Max,I'Max,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 95,N/A
32,Ball Busters,GIZ,Unknown,Gizmondo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Ball Fighter,DSiW,Teyon Entertainment,Teyon Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Dec 09,N/A
34,Ball Jacks,GEN,Namco,Namco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93,N/A
35,Ball Lightning,XBL,Unknown,Samuel H. Potter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Ball Wing,XBL,Microsoft,DataBox Inc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 09,N/A
37,Ballblazer,7800,Atari,General Computer Corp.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 88,N/A
38,Ballblazer,5200,Atari,Lucasfilm Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 84,N/A
39,Ballblazer,NES,Pony Canyon,Lucasfilm Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Mar 88,N/A
