,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Starlink: Battle for Atlas,NS,Ubisoft,Ubisoft Toronto,N/A,7.5,6.0,N/A,0.57m,0.35m,0.17m,N/A,0.05m,16th Oct 18,22nd Mar 19
1,Super Bomberman,SNES,Hudson Soft,Produce!,N/A,N/A,N/A,N/A,0.57m,N/A,N/A,0.57m,0.00m,01st Jan 93,N/A
2,Top Spin 3,PS3,2K Sports,Pam Development,N/A,7.8,N/A,N/A,0.57m,0.08m,0.37m,0.00m,0.12m,23rd Jun 08,N/A
3,SpongeBob SquarePants: Battle for Bikini Bottom,XB,THQ,Heavy Iron Studios,N/A,6.7,N/A,N/A,0.57m,0.45m,0.10m,N/A,0.02m,31st Oct 03,N/A
4,Up,Wii,THQ,THQ,N/A,N/A,N/A,N/A,0.57m,0.22m,0.29m,N/A,0.06m,26th May 09,N/A
5,Spider-Man 3,X360,Activision,Treyarch,N/A,6.0,N/A,N/A,0.57m,0.49m,0.04m,N/A,0.04m,04th May 07,N/A
6,Tony Hawk: Shred,Wii,Activision,Buzz Monkey Software,N/A,N/A,N/A,N/A,0.57m,0.41m,0.11m,N/A,0.04m,26th Oct 10,N/A
7,FIFA 15,Wii,EA Sports,EA Canada,N/A,N/A,N/A,N/A,0.57m,0.15m,0.37m,N/A,0.04m,23rd Sep 14,23rd Mar 18
8,SD Gundam G Generation Neo,PS2,Bandai,Bandai,N/A,N/A,N/A,N/A,0.57m,N/A,N/A,0.57m,N/A,28th Nov 02,N/A
9,Resident Evil Outbreak File #2,PS2,Capcom,Capcom Production Studio 1,N/A,5.8,N/A,N/A,0.57m,0.19m,0.15m,0.17m,0.05m,26th Apr 05,N/A
10,NHL 14,PS3,EA Sports,EA Canada,N/A,N/A,N/A,N/A,0.57m,0.28m,0.19m,N/A,0.10m,10th Sep 13,23rd Sep 18
11,The Sims 3: World Adventures,PC,Electronic Arts,EA Redwood Shores,N/A,8.2,N/A,N/A,0.57m,0.02m,0.18m,N/A,0.37m,16th Nov 09,N/A
12,Bob the Builder: Can We Fix It?,PS,THQ,Steel Monkeys,N/A,N/A,N/A,N/A,0.57m,0.31m,0.21m,N/A,0.04m,31st Aug 01,N/A
13,XIII,PS2,Ubisoft,Ubisoft Paris,N/A,N/A,N/A,N/A,0.57m,0.28m,0.22m,N/A,0.07m,18th Nov 03,N/A
14,Bratz 4 Real,DS,THQ,THQ,N/A,N/A,N/A,N/A,0.57m,0.29m,0.22m,N/A,0.06m,05th Nov 07,N/A
15,LEGO Jurassic World,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,N/A,N/A,N/A,0.57m,0.29m,0.20m,0.03m,0.05m,12th Jun 15,06th Apr 18
16,NHL 18,PS4,EA Sports,EA Canada,N/A,N/A,N/A,N/A,0.57m,0.31m,0.16m,N/A,0.10m,15th Sep 17,N/A
17,NEKOPARA Vol. 0,PC,Unknown,Neko Works,N/A,N/A,N/A,0.57m,N/A,N/A,N/A,N/A,N/A,N/A,09th Feb 19
18,The Legend of Spyro: Dawn of the Dragon,Wii,Vivendi Games,Etranges Libellules,N/A,N/A,N/A,N/A,0.57m,0.34m,0.17m,N/A,0.05m,21st Oct 08,N/A
19,Mega Man Legacy Collection,PS4,Capcom,Digital Eclipse Software,N/A,N/A,N/A,0.57m,N/A,N/A,N/A,N/A,N/A,23rd Feb 16,29th May 18
20,Breath of Fire IV,PS,Capcom,Capcom,N/A,8.4,N/A,N/A,0.56m,0.11m,0.08m,0.34m,0.04m,28th Nov 00,N/A
21,True Crime: Streets of LA,GC,Activision,EXAKT Entertainment,N/A,8.1,N/A,N/A,0.56m,0.44m,0.11m,N/A,0.02m,03rd Nov 03,N/A
22,Everybody's Golf,PS4,Sony Interactive Entertainment,Clap Hanz,N/A,8.1,N/A,N/A,0.56m,0.12m,0.22m,0.17m,0.06m,29th Aug 17,23rd Sep 18
23,Petz Wild Animals: Tigerz,DS,Ubisoft,Magic Pockets,N/A,N/A,N/A,N/A,0.56m,0.52m,0.00m,N/A,0.04m,26th Feb 08,N/A
24,The Amazing Spider-Man 2 (2014),PS4,Activision,Beenox,N/A,N/A,N/A,N/A,0.56m,0.20m,0.26m,0.02m,0.09m,29th Apr 14,19th Mar 18
25,Odin Sphere,PS2,Atlus,Vanillaware,N/A,8.0,N/A,N/A,0.56m,0.23m,0.18m,0.09m,0.06m,22nd May 07,10th Jan 19
26,Final Fantasy IV: The Complete Collection,PSP,Square Enix,Matrix Software,N/A,8.0,N/A,N/A,0.56m,0.13m,0.09m,0.27m,0.06m,19th Apr 11,N/A
27,The Incredible Hulk,GBA,Universal Interactive,Pocket Studios,N/A,6.0,N/A,N/A,0.56m,0.40m,0.15m,N/A,0.01m,27th May 03,N/A
28,Kingdoms and Castles,PC,Unknown,Lion Shield,N/A,N/A,N/A,0.56m,N/A,N/A,N/A,N/A,N/A,N/A,11th Jan 18
29,Ms. Pac-Man Maze Madness,GBA,"Destination Software, Inc",Full-Fat,N/A,N/A,N/A,N/A,0.56m,0.40m,0.15m,N/A,0.01m,03rd Nov 04,N/A
30,State of Anarchy,PC,Unknown,Lapovich,N/A,N/A,N/A,0.56m,N/A,N/A,N/A,N/A,N/A,N/A,12th Feb 19
31,Soul Sacrifice,PSV,Sony Computer Entertainment,Marvelous Entertainment,N/A,N/A,N/A,N/A,0.56m,0.15m,0.11m,0.22m,0.08m,30th Apr 13,02nd Jan 18
32,Jillian Michaels Fitness Ultimatum 2010,Wii,Majesco,Collision Studios,N/A,N/A,N/A,N/A,0.56m,0.51m,0.01m,N/A,0.04m,06th Oct 09,N/A
