,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
0,Hudson Best Collection Vol. 4: Nazotoki Collection,GBA,Hudson Soft,Hudson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 05,N/A
1,Hudson Best Collection Vol. 5: Shooting Collection,GBA,Hudson Soft,Hudson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Jan 06,N/A
2,Hudson Best Collection Vol. 6: Bouken Jima Collection,GBA,Hudson Soft,Hudson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Jan 06,N/A
3,Hudson Hawk,GB,Sony Imagesoft,Ocean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 91,N/A
4,Hudson Hawk,NES,Sony Imagesoft,Ocean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Feb 92,N/A
5,Hudson Selection Vol. 1: Cubic Lode Runner,GC,Hudson Soft,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 03,N/A
6,Hudson Selection Vol. 1: Cubic Lode Runner,PS2,Hudson Soft,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Nov 03,N/A
7,Hudson Selection Vol. 2: Star Soldier,PS2,Hudson Soft,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Nov 03,N/A
8,Hudson Selection Vol. 2: Star Soldier,GC,Hudson Soft,Hudson Soft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 03,N/A
9,Hudson Selection Vol. 3: PC Genjin,GC,Hudson Soft,RED Company,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Dec 03,N/A
10,Hudson Selection Vol. 3: PC Genjin,PS2,Hudson Soft,RED Company,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Dec 03,N/A
