Title,Publisher,Developer,Release,Sales
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,27-09-2019,1.0
Don't Starve,Unknown,Klei Entertainment,,1.0
Gangsters,Eidos Interactive,Hothouse Creations,07-12-1998,1.0
Hellblade,Ninja Theory,Ninja Theory,08-08-2017,1.0
Toukiden,Unknown,Omega Force,,1.0
Untitled Goose Game,Panic,House House,20-09-2009,1.0
Yooka-Laylee,Team 17,Playtonic Games,11-04-2017,1.0
Akiba,Unknown,Acquire,,0.66
Persona Arena,Unknown,Arc System Works,,0.5
Granblue Fantasy,Xseed Games,Cygames,03-03-2020,0.45
Agony,PlayWay,Madmind Studio,29-05-2018,0.31
God Wars,Kadokawa Games,Kadokawa Games,20-06-2017,0.3
Photo Kano,Kadokawa Games,Dingo,02-02-2012,0.2
Enchanter,Unknown,"Infocom, Inc.",,0.16
Super Seducer,Unknown,RLR Training Inc,,0.13
Planetfall,Unknown,"Infocom, Inc.",,0.1
Yomawari,Unknown,Nippon Ichi Software,,0.1
Digimon Story: Cyber Sleuth,Unknown,Media.Vision,,0.17
Lumines,Unknown,Q Entertainment,,0.17
Perfect Dark,Unknown,Rare,,0.17
Red Steel,Unknown,Ubisoft Paris,,0.17
Sly Cooper,Unknown,Sucker Punch,,0.17
Super Meat Boy,Team Meat,Team Meat,20-10-2010,0.17
